Year,Month,Day,Hour,MaxES,MinES,AvgES
2023,1,1,1,0.14,-4.0,-0.72
2023,1,1,2,0.13,-3.23,-0.45
2023,1,1,3,0.12,-9.98,-0.95
2023,1,1,4,0.0,-6.49,-3.34
2023,1,1,5,0.0,-6.69,-2.87
2023,1,1,6,0.0,-7.0,-3.27
2023,1,1,7,0.0,-13.58,-3.9
2023,1,1,8,0.0,-15.4,-3.2
2023,1,1,9,0.0,-8.68,-1.18
2023,1,1,10,0.0,-10.19,-2.45
2023,1,1,11,0.0,-9.91,-2.74
2023,1,1,12,0.05,-8.39,-2.48
2023,1,1,13,0.0,-12.53,-5.37
2023,1,1,14,2.49,-15.23,-9.88
2023,1,1,15,2.5,-15.0,-8.85
2023,1,1,16,0.0,-38.25,-9.69
2023,1,1,17,0.8,-15.0,-6.44
2023,1,1,18,3.33,-15.0,-9.17
2023,1,1,19,20.1,-2.04,6.25
2023,1,1,20,34.51,-0.09,8.33
2023,1,1,21,34.69,-0.09,27.78
2023,1,1,22,40.8,-0.09,19.93
2023,1,1,23,70.0,-0.99,41.97
2023,1,1,24,20.0,-1.75,6.28
2023,1,2,1,70.93,0.0,58.36
2023,1,2,2,47.5,22.09,36.9
2023,1,2,3,47.0,8.0,24.67
2023,1,2,4,47.07,5.0,25.35
2023,1,2,5,56.0,27.0,41.29
2023,1,2,6,68.22,38.97,54.11
2023,1,2,7,101.47,59.17,84.8
2023,1,2,8,130.0,90.18,104.74
2023,1,2,9,142.0,112.0,129.74
2023,1,2,10,139.44,116.0,131.31
2023,1,2,11,135.9,112.21,128.06
2023,1,2,12,138.95,114.93,127.17
2023,1,2,13,144.64,118.26,128.84
2023,1,2,14,144.57,123.0,134.04
2023,1,2,15,141.88,102.0,129.52
2023,1,2,16,148.0,100.31,130.73
2023,1,2,17,157.52,131.9,142.32
2023,1,2,18,188.4,152.01,175.42
2023,1,2,19,199.56,174.12,185.36
2023,1,2,20,186.0,161.33,175.34
2023,1,2,21,259.5,144.63,160.57
2023,1,2,22,166.74,128.0,145.63
2023,1,2,23,154.72,126.2,140.11
2023,1,2,24,135.6,113.35,127.28
2023,1,3,1,124.83,104.8,116.31
2023,1,3,2,121.1,104.6,108.91
2023,1,3,3,123.0,104.8,109.69
2023,1,3,4,120.0,92.0,105.52
2023,1,3,5,118.63,95.01,107.76
2023,1,3,6,127.11,104.6,117.18
2023,1,3,7,141.73,80.0,129.63
