OMIE - Mercado de electricidad;Fecha Emisión :11/12/2023 - 08:20;;09/12/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;12;9;1;45,38;0;0;35,00;0;0;40,75;0;0;
2023;12;9;2;52,34;0;0;24,57;0;0;31,63;0;0;
2023;12;9;3;37,90;25,00;0;20,87;20,87;0;21,82;21,03;0;
2023;12;9;4;24,99;18,38;0;8,87;18,00;0;17,84;18,34;0;
2023;12;9;5;23,38;17,65;0;16,59;17,24;0;17,94;17,48;0;
2023;12;9;6;23,30;20,88;0;16,66;16,66;0;18,44;17,64;0;
2023;12;9;7;33,30;23,30;0;18,30;20,01;0;21,87;22,32;0;
2023;12;9;8;25,00;22,99;0;20,00;20,01;0;22,15;21,72;0;
2023;12;9;9;34,79;28,64;0;24,22;26,41;0;29,39;28,49;0;
2023;12;9;10;47,77;32,95;0;23,95;32,95;0;41,93;32,95;0;
2023;12;9;11;55,30;23,09;0;19,00;21,00;0;38,16;22,05;0;
2023;12;9;12;39,90;39,90;0;19,69;19,69;0;32,23;20,55;0;
2023;12;9;13;25,00;20,70;0;11,14;11,14;0;18,45;16,26;0;
2023;12;9;14;24,90;24,90;0;-7,03;-7,03;0;14,74;14,28;0;
2023;12;9;15;29,59;23,47;0;-28,41;9,24;0;12,93;15,23;0;
2023;12;9;16;24,55;24,55;0;10,24;10,24;0;18,19;15,34;0;
2023;12;9;17;40,23;32,10;0;15,77;19,64;0;27,91;27,02;0;
2023;12;9;18;59,76;44,96;0;32,77;35,05;0;44,83;40,00;0;
2023;12;9;19;76,00;75,93;0;27,00;64,09;0;73,56;73,44;0;
2023;12;9;20;89,50;89,50;0;66,00;61,66;0;76,91;70,07;0;
2023;12;9;21;82,01;61,80;0;55,00;61,13;0;68,80;61,35;0;
2023;12;9;22;78,26;65,40;0;56,62;65,00;0;65,20;65,19;0;
2023;12;9;23;75,35;60,82;0;50,00;60,82;0;59,69;60,82;0;
2023;12;9;24;60,30;49,20;0;30,60;49,20;0;51,31;49,20;0;
;;;;;;;;;;;;;
