Trading Day ,Product,Delivery Zone,Gas type,"Price
[EUR/MWh]","Volume 
[MWh]"
2022-12-31,GDAES_Su230101,ES,Operation Gas,62.0,300
2022-12-30,GDAES_Sa221231,ES,Operation Gas,60.0,100
2022-12-29,GDAES_Fr221230,ES,Operation Gas,61.4,100
2022-12-28,GDAES_Th221229,ES,Operation Gas,67.3,100
2022-12-27,GDAES_We221228,ES,Operation Gas,71.47,500
2022-12-26,GDAES_Tu221227,ES,Operation Gas,69.48,500
2022-12-25,GDAES_Mo221226,ES,Operation Gas,68.5,500
2022-12-24,GDAES_Su221225,ES,Operation Gas,68.99,2000
2022-12-23,GDAES_Sa221224,ES,Operation Gas,74.9,1133
2022-12-22,GDAES_Fr221223,ES,Operation Gas,78.5,1700
2022-12-21,GDAES_Th221222,ES,Operation Gas,85.0,2000
2022-12-20,GDAES_We221221,ES,Operation Gas,87.97,1000
2022-12-19,GDAES_Tu221220,ES,Operation Gas,99.9,2750
2022-12-18,GDAES_Mo221219,ES,Operation Gas,108.0,350
2022-12-17,GDAES_Su221218,ES,Operation Gas,114.0,350
2022-12-16,GDAES_Sa221217,ES,Operation Gas,116.0,100
2022-12-15,GDAES_Fr221216,ES,Operation Gas,116.0,50
2022-12-14,GDAES_Th221215,ES,Operation Gas,117.0,100
2022-12-13,GDAES_We221214,ES,Operation Gas,120.0,100
2022-12-12,GDAES_Tu221213,ES,Operation Gas,123.04,1250
2022-12-11,GDAES_Mo221212,ES,Operation Gas,138.0,750
2022-12-10,GDAES_Su221211,ES,Operation Gas,130.5,750
2022-12-09,GDAES_Sa221210,ES,Operation Gas,134.5,1400
2022-12-08,GDAES_Fr221209,ES,Operation Gas,135.0,100
2022-12-07,GDAES_Th221208,ES,Operation Gas,124.0,100
2022-12-06,GDAES_We221207,ES,Operation Gas,,0
2022-12-05,GDAES_Tu221206,ES,Operation Gas,139.0,9000
2022-12-04,GDAES_Mo221205,ES,Operation Gas,,0
2022-12-03,GDAES_Su221204,ES,Operation Gas,,0
2022-12-02,GDAES_Sa221203,ES,Operation Gas,110.0,4500
2022-12-01,GDAES_Fr221202,ES,Operation Gas,125.0,5000
2022-11-30,GDAES_Th221201,ES,Operation Gas,,0
2022-11-29,GDAES_We221130,ES,Operation Gas,97.22,4000
2022-11-28,GDAES_Tu221129,ES,Operation Gas,90.0,4500
2022-11-27,GDAES_Mo221128,ES,Operation Gas,86.5,100
2022-11-26,GDAES_Su221127,ES,Operation Gas,88.0,100
2022-11-25,GDAES_Sa221126,ES,Operation Gas,,0
2022-11-24,GDAES_Fr221125,ES,Operation Gas,83.0,2000
2022-11-23,GDAES_Th221124,ES,Operation Gas,66.58,2000
2022-11-22,GDAES_We221123,ES,Operation Gas,54.0,100
2022-11-21,GDAES_Tu221122,ES,Operation Gas,54.0,100
2022-11-20,GDAES_Mo221121,ES,Operation Gas,54.96,100
2022-11-19,GDAES_Su221120,ES,Operation Gas,51.0,100
2022-11-18,GDAES_Sa221119,ES,Operation Gas,54.98,100
2022-11-17,GDAES_Fr221118,ES,Operation Gas,52.5,1500
2022-11-16,GDAES_Th221117,ES,Operation Gas,55.98,1000
2022-11-15,GDAES_We221116,ES,Operation Gas,60.0,1600
2022-11-14,GDAES_Tu221115,ES,Operation Gas,60.0,4500
2022-11-13,GDAES_Mo221114,ES,Operation Gas,,0
2022-11-12,GDAES_Su221113,ES,Operation Gas,,0
2022-11-11,GDAES_Sa221112,ES,Operation Gas,51.0,100
2022-11-10,GDAES_Fr221111,ES,Operation Gas,53.0,1500
2022-11-09,GDAES_Th221110,ES,Operation Gas,,0
2022-11-08,GDAES_We221109,ES,Operation Gas,48.01,800
