Year,Month,Day,Hour,DA ES
2023.0,1.0,1.0,1.0,0.0
2023.0,1.0,1.0,2.0,0.0
2023.0,1.0,1.0,3.0,0.0
2023.0,1.0,1.0,4.0,0.0
2023.0,1.0,1.0,5.0,0.0
2023.0,1.0,1.0,6.0,0.0
2023.0,1.0,1.0,7.0,0.0
2023.0,1.0,1.0,8.0,0.0
2023.0,1.0,1.0,9.0,0.0
2023.0,1.0,1.0,10.0,0.0
2023.0,1.0,1.0,11.0,0.0
2023.0,1.0,1.0,12.0,0.0
2023.0,1.0,1.0,13.0,0.0
2023.0,1.0,1.0,14.0,0.1
2023.0,1.0,1.0,15.0,0.1
2023.0,1.0,1.0,16.0,0.01
2023.0,1.0,1.0,17.0,1.0
2023.0,1.0,1.0,18.0,4.16
2023.0,1.0,1.0,19.0,15.1
2023.0,1.0,1.0,20.0,19.51
2023.0,1.0,1.0,21.0,24.61
2023.0,1.0,1.0,22.0,40.07
2023.0,1.0,1.0,23.0,40.07
2023.0,1.0,1.0,24.0,16.0
2023.0,1.0,2.0,1.0,61.38
2023.0,1.0,2.0,2.0,42.17
2023.0,1.0,2.0,3.0,42.0
2023.0,1.0,2.0,4.0,42.07
2023.0,1.0,2.0,5.0,42.17
2023.0,1.0,2.0,6.0,63.22
2023.0,1.0,2.0,7.0,85.0
2023.0,1.0,2.0,8.0,105.36
2023.0,1.0,2.0,9.0,131.0
2023.0,1.0,2.0,10.0,131.58
2023.0,1.0,2.0,11.0,127.0
2023.0,1.0,2.0,12.0,126.07
2023.0,1.0,2.0,13.0,127.0
2023.0,1.0,2.0,14.0,130.0
2023.0,1.0,2.0,15.0,131.0
2023.0,1.0,2.0,16.0,128.0
2023.0,1.0,2.0,17.0,131.88
2023.0,1.0,2.0,18.0,160.0
2023.0,1.0,2.0,19.0,174.74
2023.0,1.0,2.0,20.0,165.76
2023.0,1.0,2.0,21.0,153.0
2023.0,1.0,2.0,22.0,141.67
2023.0,1.0,2.0,23.0,134.91
2023.0,1.0,2.0,24.0,124.22
2023.0,1.0,3.0,1.0,130.01
2023.0,1.0,3.0,2.0,120.0
2023.0,1.0,3.0,3.0,118.76
2023.0,1.0,3.0,4.0,115.0
2023.0,1.0,3.0,5.0,113.63
2023.0,1.0,3.0,6.0,116.27
2023.0,1.0,3.0,7.0,138.92
2023.0,1.0,3.0,8.0,155.59
2023.0,1.0,3.0,9.0,169.17
2023.0,1.0,3.0,10.0,171.18
2023.0,1.0,3.0,11.0,154.9
2023.0,1.0,3.0,12.0,146.71
2023.0,1.0,3.0,13.0,133.33
2023.0,1.0,3.0,14.0,130.0
2023.0,1.0,3.0,15.0,126.0
2023.0,1.0,3.0,16.0,120.0
2023.0,1.0,3.0,17.0,135.56
2023.0,1.0,3.0,18.0,156.3
2023.0,1.0,3.0,19.0,169.01
2023.0,1.0,3.0,20.0,160.99
2023.0,1.0,3.0,21.0,152.1
2023.0,1.0,3.0,22.0,149.92
2023.0,1.0,3.0,23.0,132.53
2023.0,1.0,3.0,24.0,115.0
2023.0,1.0,4.0,1.0,119.99
2023.0,1.0,4.0,2.0,100.0
2023.0,1.0,4.0,3.0,90.23
2023.0,1.0,4.0,4.0,84.2
2023.0,1.0,4.0,5.0,80.23
2023.0,1.0,4.0,6.0,87.31
2023.0,1.0,4.0,7.0,109.0
2023.0,1.0,4.0,8.0,105.1
2023.0,1.0,4.0,9.0,134.16
2023.0,1.0,4.0,10.0,129.3
2023.0,1.0,4.0,11.0,120.7
2023.0,1.0,4.0,12.0,96.77
2023.0,1.0,4.0,13.0,105.03
2023.0,1.0,4.0,14.0,106.0
2023.0,1.0,4.0,15.0,105.07
2023.0,1.0,4.0,16.0,103.9
2023.0,1.0,4.0,17.0,107.98
2023.0,1.0,4.0,18.0,129.82
2023.0,1.0,4.0,19.0,167.29
2023.0,1.0,4.0,20.0,160.6
2023.0,1.0,4.0,21.0,151.55
2023.0,1.0,4.0,22.0,140.61
2023.0,1.0,4.0,23.0,126.58
2023.0,1.0,4.0,24.0,104.75
2023.0,1.0,5.0,1.0,95.05
2023.0,1.0,5.0,2.0,79.21
2023.0,1.0,5.0,3.0,68.07
2023.0,1.0,5.0,4.0,64.27
2023.0,1.0,5.0,5.0,61.97
2023.0,1.0,5.0,6.0,65.1
2023.0,1.0,5.0,7.0,95.05
2023.0,1.0,5.0,8.0,108.23
2023.0,1.0,5.0,9.0,135.0
2023.0,1.0,5.0,10.0,123.27
2023.0,1.0,5.0,11.0,104.97
2023.0,1.0,5.0,12.0,113.53
2023.0,1.0,5.0,13.0,100.82
2023.0,1.0,5.0,14.0,96.44
2023.0,1.0,5.0,15.0,93.9
2023.0,1.0,5.0,16.0,91.16
2023.0,1.0,5.0,17.0,94.43
2023.0,1.0,5.0,18.0,118.9
2023.0,1.0,5.0,19.0,163.2
2023.0,1.0,5.0,20.0,177.98
2023.0,1.0,5.0,21.0,163.99
2023.0,1.0,5.0,22.0,152.0
2023.0,1.0,5.0,23.0,135.0
2023.0,1.0,5.0,24.0,118.9
2023.0,1.0,6.0,1.0,107.21
2023.0,1.0,6.0,2.0,101.1
2023.0,1.0,6.0,3.0,96.73
2023.0,1.0,6.0,4.0,81.37
2023.0,1.0,6.0,5.0,75.75
2023.0,1.0,6.0,6.0,81.0
2023.0,1.0,6.0,7.0,97.45
2023.0,1.0,6.0,8.0,107.82
2023.0,1.0,6.0,9.0,122.8
2023.0,1.0,6.0,10.0,125.0
2023.0,1.0,6.0,11.0,120.7
2023.0,1.0,6.0,12.0,110.05
2023.0,1.0,6.0,13.0,103.36
2023.0,1.0,6.0,14.0,90.23
2023.0,1.0,6.0,15.0,80.23
2023.0,1.0,6.0,16.0,70.0
2023.0,1.0,6.0,17.0,80.43
2023.0,1.0,6.0,18.0,121.2
2023.0,1.0,6.0,19.0,128.47
2023.0,1.0,6.0,20.0,137.73
2023.0,1.0,6.0,21.0,137.73
2023.0,1.0,6.0,22.0,132.0
2023.0,1.0,6.0,23.0,99.9
2023.0,1.0,6.0,24.0,91.1
2023.0,1.0,7.0,1.0,53.42
2023.0,1.0,7.0,2.0,40.3
2023.0,1.0,7.0,3.0,25.5
2023.0,1.0,7.0,4.0,24.8
2023.0,1.0,7.0,5.0,20.0
2023.0,1.0,7.0,6.0,14.85
2023.0,1.0,7.0,7.0,14.85
2023.0,1.0,7.0,8.0,14.0
2023.0,1.0,7.0,9.0,18.28
2023.0,1.0,7.0,10.0,20.2
2023.0,1.0,7.0,11.0,18.28
2023.0,1.0,7.0,12.0,14.0
2023.0,1.0,7.0,13.0,10.35
2023.0,1.0,7.0,14.0,8.0
2023.0,1.0,7.0,15.0,5.46
2023.0,1.0,7.0,16.0,4.16
2023.0,1.0,7.0,17.0,8.0
2023.0,1.0,7.0,18.0,24.61
2023.0,1.0,7.0,19.0,40.0
2023.0,1.0,7.0,20.0,43.45
2023.0,1.0,7.0,21.0,50.0
2023.0,1.0,7.0,22.0,43.45
2023.0,1.0,7.0,23.0,30.0
2023.0,1.0,7.0,24.0,24.61
2023.0,1.0,8.0,1.0,7.0
2023.0,1.0,8.0,2.0,5.0
2023.0,1.0,8.0,3.0,4.2
2023.0,1.0,8.0,4.0,4.16
2023.0,1.0,8.0,5.0,4.16
2023.0,1.0,8.0,6.0,4.16
2023.0,1.0,8.0,7.0,4.16
2023.0,1.0,8.0,8.0,4.16
2023.0,1.0,8.0,9.0,4.16
2023.0,1.0,8.0,10.0,5.0
2023.0,1.0,8.0,11.0,5.1
2023.0,1.0,8.0,12.0,5.05
2023.0,1.0,8.0,13.0,4.9
2023.0,1.0,8.0,14.0,5.0
2023.0,1.0,8.0,15.0,4.6
2023.0,1.0,8.0,16.0,4.2
2023.0,1.0,8.0,17.0,4.6
2023.0,1.0,8.0,18.0,7.1
2023.0,1.0,8.0,19.0,17.8
2023.0,1.0,8.0,20.0,24.61
2023.0,1.0,8.0,21.0,40.0
2023.0,1.0,8.0,22.0,40.0
2023.0,1.0,8.0,23.0,21.94
2023.0,1.0,8.0,24.0,15.7
2023.0,1.0,9.0,1.0,5.1
2023.0,1.0,9.0,2.0,4.2
2023.0,1.0,9.0,3.0,4.2
2023.0,1.0,9.0,4.0,4.2
2023.0,1.0,9.0,5.0,4.6
2023.0,1.0,9.0,6.0,5.5
2023.0,1.0,9.0,7.0,24.61
2023.0,1.0,9.0,8.0,80.0
2023.0,1.0,9.0,9.0,118.0
2023.0,1.0,9.0,10.0,121.16
2023.0,1.0,9.0,11.0,119.58
2023.0,1.0,9.0,12.0,115.0
2023.0,1.0,9.0,13.0,106.0
2023.0,1.0,9.0,14.0,91.84
2023.0,1.0,9.0,15.0,81.28
2023.0,1.0,9.0,16.0,72.32
