Year,Month,Day,Hour,DA ES
2024.0,1.0,1.0,1.0,63.33
2024.0,1.0,1.0,2.0,50.09
2024.0,1.0,1.0,3.0,47.5
2024.0,1.0,1.0,4.0,43.5
2024.0,1.0,1.0,5.0,42.5
2024.0,1.0,1.0,6.0,42.09
2024.0,1.0,1.0,7.0,42.5
2024.0,1.0,1.0,8.0,42.59
2024.0,1.0,1.0,9.0,43.37
2024.0,1.0,1.0,10.0,42.29
2024.0,1.0,1.0,11.0,25.0
2024.0,1.0,1.0,12.0,3.9
2024.0,1.0,1.0,13.0,3.2
2024.0,1.0,1.0,14.0,2.06
2024.0,1.0,1.0,15.0,1.73
2024.0,1.0,1.0,16.0,5.72
2024.0,1.0,1.0,17.0,18.49
2024.0,1.0,1.0,18.0,37.0
2024.0,1.0,1.0,19.0,47.5
2024.0,1.0,1.0,20.0,54.97
2024.0,1.0,1.0,21.0,60.9
2024.0,1.0,1.0,22.0,60.0
2024.0,1.0,1.0,23.0,47.5
2024.0,1.0,1.0,24.0,42.09
2024.0,1.0,2.0,1.0,37.8
2024.0,1.0,2.0,2.0,25.0
2024.0,1.0,2.0,3.0,3.99
2024.0,1.0,2.0,4.0,14.0
2024.0,1.0,2.0,5.0,10.0
2024.0,1.0,2.0,6.0,14.54
2024.0,1.0,2.0,7.0,36.29
2024.0,1.0,2.0,8.0,44.7
2024.0,1.0,2.0,9.0,53.78
2024.0,1.0,2.0,10.0,54.23
2024.0,1.0,2.0,11.0,50.0
2024.0,1.0,2.0,12.0,52.2
2024.0,1.0,2.0,13.0,45.0
2024.0,1.0,2.0,14.0,43.0
2024.0,1.0,2.0,15.0,43.0
2024.0,1.0,2.0,16.0,40.99
2024.0,1.0,2.0,17.0,43.66
2024.0,1.0,2.0,18.0,52.2
2024.0,1.0,2.0,19.0,57.77
2024.0,1.0,2.0,20.0,62.45
2024.0,1.0,2.0,21.0,58.0
2024.0,1.0,2.0,22.0,52.83
2024.0,1.0,2.0,23.0,46.26
