Year,Month,Day,Hour,MaxES,MinES,AvgES
2023.0,1.0,1.0,1.0,0.14,-4.0,-0.72
2023.0,1.0,1.0,2.0,0.13,-3.23,-0.45
2023.0,1.0,1.0,3.0,0.12,-9.98,-0.95
2023.0,1.0,1.0,4.0,0.0,-6.49,-3.34
2023.0,1.0,1.0,5.0,0.0,-6.69,-2.87
2023.0,1.0,1.0,6.0,0.0,-7.0,-3.27
2023.0,1.0,1.0,7.0,0.0,-13.58,-3.9
2023.0,1.0,1.0,8.0,0.0,-15.4,-3.2
2023.0,1.0,1.0,9.0,0.0,-8.68,-1.18
2023.0,1.0,1.0,10.0,0.0,-10.19,-2.45
2023.0,1.0,1.0,11.0,0.0,-9.91,-2.74
2023.0,1.0,1.0,12.0,0.05,-8.39,-2.48
2023.0,1.0,1.0,13.0,0.0,-12.53,-5.37
2023.0,1.0,1.0,14.0,2.49,-15.23,-9.88
2023.0,1.0,1.0,15.0,2.5,-15.0,-8.85
2023.0,1.0,1.0,16.0,0.0,-38.25,-9.69
2023.0,1.0,1.0,17.0,0.8,-15.0,-6.44
2023.0,1.0,1.0,18.0,3.33,-15.0,-9.17
2023.0,1.0,1.0,19.0,20.1,-2.04,6.25
2023.0,1.0,1.0,20.0,34.51,-0.09,8.33
2023.0,1.0,1.0,21.0,34.69,-0.09,27.78
2023.0,1.0,1.0,22.0,40.8,-0.09,19.93
2023.0,1.0,1.0,23.0,70.0,-0.99,41.97
2023.0,1.0,1.0,24.0,20.0,-1.75,6.28
2023.0,1.0,2.0,1.0,70.93,0.0,58.36
2023.0,1.0,2.0,2.0,47.5,22.09,36.9
2023.0,1.0,2.0,3.0,47.0,8.0,24.67
2023.0,1.0,2.0,4.0,47.07,5.0,25.35
2023.0,1.0,2.0,5.0,56.0,27.0,41.29
2023.0,1.0,2.0,6.0,68.22,38.97,54.11
2023.0,1.0,2.0,7.0,101.47,59.17,84.8
2023.0,1.0,2.0,8.0,130.0,90.18,104.74
2023.0,1.0,2.0,9.0,142.0,112.0,129.74
2023.0,1.0,2.0,10.0,139.44,116.0,131.31
2023.0,1.0,2.0,11.0,135.9,112.21,128.06
2023.0,1.0,2.0,12.0,138.95,114.93,127.17
2023.0,1.0,2.0,13.0,144.64,118.26,128.84
2023.0,1.0,2.0,14.0,144.57,123.0,134.04
2023.0,1.0,2.0,15.0,141.88,102.0,129.52
2023.0,1.0,2.0,16.0,148.0,100.31,130.73
2023.0,1.0,2.0,17.0,157.52,131.9,142.32
2023.0,1.0,2.0,18.0,188.4,152.01,175.42
2023.0,1.0,2.0,19.0,199.56,174.12,185.36
2023.0,1.0,2.0,20.0,186.0,161.33,175.34
2023.0,1.0,2.0,21.0,259.5,144.63,160.57
2023.0,1.0,2.0,22.0,166.74,128.0,145.63
2023.0,1.0,2.0,23.0,154.72,126.2,140.11
2023.0,1.0,2.0,24.0,135.6,113.35,127.28
2023.0,1.0,3.0,1.0,124.83,104.8,116.31
2023.0,1.0,3.0,2.0,121.1,104.6,108.91
2023.0,1.0,3.0,3.0,123.0,104.8,109.69
2023.0,1.0,3.0,4.0,120.0,92.0,105.52
2023.0,1.0,3.0,5.0,118.63,95.01,107.76
2023.0,1.0,3.0,6.0,127.11,104.6,117.18
2023.0,1.0,3.0,7.0,141.73,80.0,129.63
2023.0,1.0,3.0,8.0,147.59,100.22,120.56
2023.0,1.0,3.0,9.0,194.17,160.0,169.22
2023.0,1.0,3.0,10.0,180.0,122.4,167.22
2023.0,1.0,3.0,11.0,154.7,70.95,120.12
2023.0,1.0,3.0,12.0,136.57,78.0,97.46
2023.0,1.0,3.0,13.0,125.49,50.27,88.52
2023.0,1.0,3.0,14.0,122.0,61.64,101.08
2023.0,1.0,3.0,15.0,126.0,61.64,107.05
2023.0,1.0,3.0,16.0,120.3,70.0,105.84
2023.0,1.0,3.0,17.0,135.56,70.0,106.56
2023.0,1.0,3.0,18.0,165.32,90.0,130.51
2023.0,1.0,3.0,19.0,180.0,154.76,170.71
2023.0,1.0,3.0,20.0,195.41,151.5,169.98
2023.0,1.0,3.0,21.0,164.72,134.36,149.31
2023.0,1.0,3.0,22.0,149.09,108.92,132.14
2023.0,1.0,3.0,23.0,132.53,89.0,109.51
2023.0,1.0,3.0,24.0,115.27,81.07,90.97
2023.0,1.0,4.0,1.0,136.98,70.0,92.05
2023.0,1.0,4.0,2.0,107.0,70.0,90.23
2023.0,1.0,4.0,3.0,99.88,85.0,91.97
2023.0,1.0,4.0,4.0,101.28,81.21,90.97
2023.0,1.0,4.0,5.0,99.88,60.0,81.33
2023.0,1.0,4.0,6.0,99.88,79.31,86.17
2023.0,1.0,4.0,7.0,108.58,56.92,84.82
2023.0,1.0,4.0,8.0,105.09,40.32,66.73
