Year,Month,Day,Hour,MaxES,MinES,AvgES
2024.0,1.0,1.0,1.0,75.01,43.5,57.34
2024.0,1.0,1.0,2.0,74.71,30.01,43.96
2024.0,1.0,1.0,3.0,74.71,20.0,42.33
2024.0,1.0,1.0,4.0,75.0,23.46,43.51
2024.0,1.0,1.0,5.0,53.64,30.49,40.3
2024.0,1.0,1.0,6.0,42.09,24.23,29.05
2024.0,1.0,1.0,7.0,57.43,23.0,36.59
2024.0,1.0,1.0,8.0,57.0,24.73,37.53
2024.0,1.0,1.0,9.0,55.0,32.73,39.21
2024.0,1.0,1.0,10.0,59.99,11.61,38.29
2024.0,1.0,1.0,11.0,34.77,10.0,25.17
2024.0,1.0,1.0,12.0,24.8,-4.4,8.38
2024.0,1.0,1.0,13.0,17.85,-5.32,4.73
2024.0,1.0,1.0,14.0,14.1,-6.8,4.82
2024.0,1.0,1.0,15.0,11.21,-7.7,4.79
2024.0,1.0,1.0,16.0,26.0,4.5,13.2
2024.0,1.0,1.0,17.0,37.0,17.1,27.82
2024.0,1.0,1.0,18.0,50.47,29.0,39.29
2024.0,1.0,1.0,19.0,60.4,47.5,51.41
2024.0,1.0,1.0,20.0,78.1,44.8,54.51
2024.0,1.0,1.0,21.0,75.0,41.17,59.85
2024.0,1.0,1.0,22.0,70.0,53.33,59.62
2024.0,1.0,1.0,23.0,67.98,39.31,52.1
2024.0,1.0,1.0,24.0,47.09,-5.0,26.05
2024.0,1.0,2.0,1.0,38.23,22.8,33.52
2024.0,1.0,2.0,2.0,44.0,12.45,23.44
2024.0,1.0,2.0,3.0,4.42,-4.43,1.65
2024.0,1.0,2.0,4.0,14.42,-19.95,4.88
2024.0,1.0,2.0,5.0,9.0,-19.97,5.61
2024.0,1.0,2.0,6.0,9.68,-5.5,5.46
2024.0,1.0,2.0,7.0,78.25,29.0,37.3
2024.0,1.0,2.0,8.0,59.7,2.35,27.32
2024.0,1.0,2.0,9.0,54.81,41.02,49.54
2024.0,1.0,2.0,10.0,65.0,44.24,54.23
2024.0,1.0,2.0,11.0,55.2,44.42,49.44
2024.0,1.0,2.0,12.0,60.0,40.8,48.37
2024.0,1.0,2.0,13.0,48.41,32.76,41.73
2024.0,1.0,2.0,14.0,47.97,25.0,37.78
2024.0,1.0,2.0,15.0,44.98,31.03,38.83
2024.0,1.0,2.0,16.0,49.99,30.4,35.37
2024.0,1.0,2.0,17.0,46.66,29.2,36.03
2024.0,1.0,2.0,18.0,56.38,36.43,46.81
2024.0,1.0,2.0,19.0,60.1,36.54,54.9
2024.0,1.0,2.0,20.0,65.45,47.0,58.23
2024.0,1.0,2.0,21.0,58.0,36.49,48.33
2024.0,1.0,2.0,22.0,52.83,20.61,41.39
2024.0,1.0,2.0,23.0,45.21,13.6,34.12
2024.0,1.0,2.0,24.0,40.4,7.0,16.17
2024.0,1.0,3.0,1.0,75.55,7.49,38.06
2024.0,1.0,3.0,2.0,18.25,-9.46,8.7
2024.0,1.0,3.0,3.0,29.22,2.0,18.69
2024.0,1.0,3.0,4.0,23.98,2.0,17.15
2024.0,1.0,3.0,5.0,17.99,2.0,12.17
2024.0,1.0,3.0,6.0,12.0,0.6,5.53
2024.0,1.0,3.0,7.0,24.11,5.47,19.55
2024.0,1.0,3.0,8.0,75.5,43.15,47.19
2024.0,1.0,3.0,9.0,84.34,60.0,68.35
2024.0,1.0,3.0,10.0,105.55,67.02,73.43
2024.0,1.0,3.0,11.0,84.82,62.4,69.93
2024.0,1.0,3.0,12.0,115.5,61.0,72.82
2024.0,1.0,3.0,13.0,76.16,54.89,61.95
2024.0,1.0,3.0,14.0,70.42,52.8,61.73
2024.0,1.0,3.0,15.0,75.21,55.0,66.62
2024.0,1.0,3.0,16.0,76.0,64.15,70.68
2024.0,1.0,3.0,17.0,79.5,67.51,73.59
2024.0,1.0,3.0,18.0,99.94,86.88,91.93
2024.0,1.0,3.0,19.0,115.65,94.89,103.71
2024.0,1.0,3.0,20.0,119.29,94.35,108.69
2024.0,1.0,3.0,21.0,116.26,85.0,94.53
2024.0,1.0,3.0,22.0,113.18,65.5,90.36
2024.0,1.0,3.0,23.0,97.2,65.0,76.26
2024.0,1.0,3.0,24.0,89.58,62.0,82.1
2024.0,1.0,4.0,1.0,90.82,7.5,80.09
2024.0,1.0,4.0,2.0,87.0,32.11,68.84
2024.0,1.0,4.0,3.0,100.24,37.98,74.83
2024.0,1.0,4.0,4.0,110.0,25.0,67.7
2024.0,1.0,4.0,5.0,71.81,37.13,65.41
2024.0,1.0,4.0,6.0,71.39,61.32,67.96
2024.0,1.0,4.0,7.0,86.74,62.03,73.93
2024.0,1.0,4.0,8.0,94.93,84.07,90.62
2024.0,1.0,4.0,9.0,99.23,81.99,92.68
2024.0,1.0,4.0,10.0,101.73,84.5,95.18
2024.0,1.0,4.0,11.0,97.82,82.83,93.71
2024.0,1.0,4.0,12.0,106.18,81.25,92.06
2024.0,1.0,4.0,13.0,110.0,88.0,95.48
2024.0,1.0,4.0,14.0,105.18,83.0,91.6
2024.0,1.0,4.0,15.0,97.11,84.24,92.14
2024.0,1.0,4.0,16.0,101.55,85.69,95.32
2024.0,1.0,4.0,17.0,102.49,82.1,95.1
2024.0,1.0,4.0,18.0,110.23,91.0,99.47
2024.0,1.0,4.0,19.0,103.0,75.1,96.51
2024.0,1.0,4.0,20.0,105.0,78.86,97.16
2024.0,1.0,4.0,21.0,105.18,90.18,99.56
2024.0,1.0,4.0,22.0,102.31,81.01,96.64
2024.0,1.0,4.0,23.0,99.46,68.34,89.98
2024.0,1.0,4.0,24.0,90.82,71.0,79.44
2024.0,1.0,5.0,1.0,88.65,73.0,80.13
2024.0,1.0,5.0,2.0,82.91,68.85,74.25
2024.0,1.0,5.0,3.0,73.0,58.47,64.77
2024.0,1.0,5.0,4.0,59.0,35.0,49.7
2024.0,1.0,5.0,5.0,59.56,44.1,49.36
2024.0,1.0,5.0,6.0,67.3,53.16,58.65
2024.0,1.0,5.0,7.0,84.57,55.0,71.04
2024.0,1.0,5.0,8.0,93.5,81.2,88.08
2024.0,1.0,5.0,9.0,98.66,85.1,93.02
2024.0,1.0,5.0,10.0,100.0,65.0,92.48
2024.0,1.0,5.0,11.0,99.25,55.23,82.77
2024.0,1.0,5.0,12.0,67.01,50.0,57.77
2024.0,1.0,5.0,13.0,72.87,45.87,51.65
2024.0,1.0,5.0,14.0,63.0,44.01,48.82
2024.0,1.0,5.0,15.0,58.0,29.0,41.2
2024.0,1.0,5.0,16.0,51.01,20.0,36.14
2024.0,1.0,5.0,17.0,74.37,46.0,55.7
2024.0,1.0,5.0,18.0,88.54,59.56,68.37
2024.0,1.0,5.0,19.0,86.95,67.92,76.79
2024.0,1.0,5.0,20.0,95.66,70.0,79.3
2024.0,1.0,5.0,21.0,97.22,79.94,89.29
2024.0,1.0,5.0,22.0,94.45,78.26,83.42
2024.0,1.0,5.0,23.0,93.5,75.0,81.86
2024.0,1.0,5.0,24.0,85.27,65.25,70.12
2024.0,1.0,6.0,1.0,89.19,72.2,81.93
2024.0,1.0,6.0,2.0,93.2,46.12,72.6
2024.0,1.0,6.0,3.0,85.49,47.74,69.4
2024.0,1.0,6.0,4.0,76.98,43.75,62.66
2024.0,1.0,6.0,5.0,78.0,27.9,56.21
2024.0,1.0,6.0,6.0,86.53,25.99,59.38
2024.0,1.0,6.0,7.0,90.0,31.72,61.59
2024.0,1.0,6.0,8.0,75.0,44.4,53.32
2024.0,1.0,6.0,9.0,84.53,54.46,75.43
2024.0,1.0,6.0,10.0,82.02,50.33,70.48
2024.0,1.0,6.0,11.0,78.0,36.85,55.0
2024.0,1.0,6.0,12.0,27.0,6.47,16.0
2024.0,1.0,6.0,13.0,18.96,3.2,6.94
2024.0,1.0,6.0,14.0,12.44,-53.8,0.22
2024.0,1.0,6.0,15.0,18.2,-8.23,2.0
2024.0,1.0,6.0,16.0,25.29,-6.81,7.43
2024.0,1.0,6.0,17.0,76.56,27.7,61.12
2024.0,1.0,6.0,18.0,110.0,67.0,90.3
2024.0,1.0,6.0,19.0,105.05,87.96,100.32
2024.0,1.0,6.0,20.0,117.46,94.36,101.16
2024.0,1.0,6.0,21.0,111.3,92.34,99.1
2024.0,1.0,6.0,22.0,103.2,89.48,93.03
2024.0,1.0,6.0,23.0,103.62,88.03,93.46
2024.0,1.0,6.0,24.0,92.83,82.6,86.95
2024.0,1.0,7.0,1.0,89.99,82.94,88.31
2024.0,1.0,7.0,2.0,89.99,83.61,87.32
2024.0,1.0,7.0,3.0,86.0,75.46,82.63
2024.0,1.0,7.0,4.0,78.71,68.0,74.66
2024.0,1.0,7.0,5.0,76.87,68.5,73.02
2024.0,1.0,7.0,6.0,77.33,61.6,72.47
2024.0,1.0,7.0,7.0,84.98,68.73,75.68
2024.0,1.0,7.0,8.0,84.9,74.56,80.5
2024.0,1.0,7.0,9.0,88.53,80.89,85.5
2024.0,1.0,7.0,10.0,92.95,83.23,90.68
2024.0,1.0,7.0,11.0,76.01,61.0,67.4
2024.0,1.0,7.0,12.0,80.87,55.86,66.42
2024.0,1.0,7.0,13.0,74.71,50.59,52.43
2024.0,1.0,7.0,14.0,79.3,41.77,55.13
2024.0,1.0,7.0,15.0,69.98,49.98,57.39
2024.0,1.0,7.0,16.0,86.44,39.82,58.77
2024.0,1.0,7.0,17.0,94.3,44.98,72.39
2024.0,1.0,7.0,18.0,110.0,86.55,101.06
2024.0,1.0,7.0,19.0,111.76,87.24,103.6
2024.0,1.0,7.0,20.0,113.32,94.0,107.53
2024.0,1.0,7.0,21.0,110.0,90.0,102.68
2024.0,1.0,7.0,22.0,102.0,85.03,94.37
2024.0,1.0,7.0,23.0,99.5,85.46,91.01
