da;;;20059.8;2023-01-01T00:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19380.3;2023-01-01T01:00:00+01:00
1775;Previsión diaria D+1 demanda;;;18523.8;2023-01-01T02:00:00+01:00
1775;Previsión diaria D+1 demanda;;;17588.3;2023-01-01T03:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16834.5;2023-01-01T04:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16572.8;2023-01-01T05:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16751.8;2023-01-01T06:00:00+01:00
1775;Previsión diaria D+1 demanda;;;17145.5;2023-01-01T07:00:00+01:00
1775;Previsión diaria D+1 demanda;;;17150.8;2023-01-01T08:00:00+01:00id;name;geoid;geoname;value;datetime
1775;Previsión diaria D+1 deman
1775;Previsión diaria D+1 demanda;;;17203.3;2023-01-01T09:00:00+01:00
1775;Previsión diaria D+1 demanda;;;17876;2023-01-01T10:00:00+01:00
1775;Previsión diaria D+1 demanda;;;18627;2023-01-01T11:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19274.5;2023-01-01T12:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19759;2023-01-01T13:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19856.3;2023-01-01T14:00:00+01:00
1775;Previsión diaria D+1 demanda;;;18873;2023-01-01T15:00:00+01:00
1775;Previsión diaria D+1 demanda;;;18755.8;2023-01-01T16:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19741.5;2023-01-01T17:00:00+01:00
1775;Previsión diaria D+1 demanda;;;22077;2023-01-01T18:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23023;2023-01-01T19:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23552.5;2023-01-01T20:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23907.3;2023-01-01T21:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23075;2023-01-01T22:00:00+01:00
1775;Previsión diaria D+1 demanda;;;21046.3;2023-01-01T23:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19098.8;2023-01-02T00:00:00+01:00
1775;Previsión diaria D+1 demanda;;;17728.3;2023-01-02T01:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16565.8;2023-01-02T02:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16157.8;2023-01-02T03:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16364;2023-01-02T04:00:00+01:00
1775;Previsión diaria D+1 demanda;;;16953;2023-01-02T05:00:00+01:00
1775;Previsión diaria D+1 demanda;;;19044.3;2023-01-02T06:00:00+01:00
1775;Previsión diaria D+1 demanda;;;21595.5;2023-01-02T07:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23128;2023-01-02T08:00:00+01:00
1775;Previsión diaria D+1 demanda;;;24578.5;2023-01-02T09:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25470;2023-01-02T10:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25333.5;2023-01-02T11:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25307.3;2023-01-02T12:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25532;2023-01-02T13:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25506;2023-01-02T14:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25125.3;2023-01-02T15:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25203.3;2023-01-02T16:00:00+01:00
1775;Previsión diaria D+1 demanda;;;26044.5;2023-01-02T17:00:00+01:00
1775;Previsión diaria D+1 demanda;;;27826.8;2023-01-02T18:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28620.5;2023-01-02T19:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29399.8;2023-01-02T20:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28689.3;2023-01-02T21:00:00+01:00
1775;Previsión diaria D+1 demanda;;;26763.5;2023-01-02T22:00:00+01:00
1775;Previsión diaria D+1 demanda;;;24186.8;2023-01-02T23:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23530.5;2023-01-03T00:00:00+01:00
1775;Previsión diaria D+1 demanda;;;21953.5;2023-01-03T01:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20730;2023-01-03T02:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20289;2023-01-03T03:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20305;2023-01-03T04:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20854;2023-01-03T05:00:00+01:00
1775;Previsión diaria D+1 demanda;;;22919;2023-01-03T06:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25889.3;2023-01-03T07:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28456.5;2023-01-03T08:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30008.8;2023-01-03T09:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30359;2023-01-03T10:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29814.3;2023-01-03T11:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29743.3;2023-01-03T12:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29771.3;2023-01-03T13:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29341;2023-01-03T14:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28906.8;2023-01-03T15:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29058.5;2023-01-03T16:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29707;2023-01-03T17:00:00+01:00
1775;Previsión diaria D+1 demanda;;;31047.5;2023-01-03T18:00:00+01:00
1775;Previsión diaria D+1 demanda;;;31825.5;2023-01-03T19:00:00+01:00
1775;Previsión diaria D+1 demanda;;;32107;2023-01-03T20:00:00+01:00
1775;Previsión diaria D+1 demanda;;;31059.8;2023-01-03T21:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28143.5;2023-01-03T22:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25586;2023-01-03T23:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23671;2023-01-04T00:00:00+01:00
1775;Previsión diaria D+1 demanda;;;22090.8;2023-01-04T01:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20896;2023-01-04T02:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20365.8;2023-01-04T03:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20364;2023-01-04T04:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20958.8;2023-01-04T05:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23370;2023-01-04T06:00:00+01:00
1775;Previsión diaria D+1 demanda;;;26569.8;2023-01-04T07:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28740;2023-01-04T08:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30027.8;2023-01-04T09:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30373.5;2023-01-04T10:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30104;2023-01-04T11:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29742.8;2023-01-04T12:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29538.5;2023-01-04T13:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29132.3;2023-01-04T14:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28742.5;2023-01-04T15:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28837.5;2023-01-04T16:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29431;2023-01-04T17:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30661.8;2023-01-04T18:00:00+01:00
1775;Previsión diaria D+1 demanda;;;31119;2023-01-04T19:00:00+01:00
1775;Previsión diaria D+1 demanda;;;31524.8;2023-01-04T20:00:00+01:00
1775;Previsión diaria D+1 demanda;;;30777.3;2023-01-04T21:00:00+01:00
1775;Previsión diaria D+1 demanda;;;27933.5;2023-01-04T22:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25316.8;2023-01-04T23:00:00+01:00
1775;Previsión diaria D+1 demanda;;;24046;2023-01-05T00:00:00+01:00
1775;Previsión diaria D+1 demanda;;;22294;2023-01-05T01:00:00+01:00
1775;Previsión diaria D+1 demanda;;;21126.8;2023-01-05T02:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20544.3;2023-01-05T03:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20505;2023-01-05T04:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20989;2023-01-05T05:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23136.5;2023-01-05T06:00:00+01:00
1775;Previsión diaria D+1 demanda;;;25908.8;2023-01-05T07:00:00+01:00
1775;Previsión diaria D+1 demanda;;;27870.3;2023-01-05T08:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29359.8;2023-01-05T09:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29863.5;2023-01-05T10:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29300.5;2023-01-05T11:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28972.3;2023-01-05T12:00:00+01:00
1775;Previsión diaria D+1 demanda;;;29086.3;2023-01-05T13:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28157.8;2023-01-05T14:00:00+01:00
1775;Previsión diaria D+1 demanda;;;27335.3;2023-01-05T15:00:00+01:00
1775;Previsión diaria D+1 demanda;;;27243.3;2023-01-05T16:00:00+01:00
1775;Previsión diaria D+1 demanda;;;27375.8;2023-01-05T17:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28028.8;2023-01-05T18:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28152;2023-01-05T19:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28367.8;2023-01-05T20:00:00+01:00
1775;Previsión diaria D+1 demanda;;;28173.5;2023-01-05T21:00:00+01:00
1775;Previsión diaria D+1 demanda;;;26466.3;2023-01-05T22:00:00+01:00
1775;Previsión diaria D+1 demanda;;;24762.5;2023-01-05T23:00:00+01:00
1775;Previsión diaria D+1 demanda;;;23509.5;2023-01-06T00:00:00+01:00
1775;Previsión diaria D+1 demanda;;;21795.3;2023-01-06T01:00:00+01:00
1775;Previsión diaria D+1 demanda;;;20205;2023-01-06T02:00:00+01:00
