Trading Day ,Product,Delivery Zone,Gas type,"Price
[EUR/MWh]","Volume 
[MWh]"
2021-12-31,GDAES_Sa220101,ES,Operation Gas,76.0,2000
2021-12-30,GDAES_Fr211231,ES,Operation Gas,87.0,500
2021-12-29,GDAES_Th211230,ES,Operation Gas,92.97,500
2021-12-28,GDAES_We211229,ES,Operation Gas,93.0,500
2021-12-27,GDAES_Tu211228,ES,Operation Gas,89.95,500
2021-12-26,GDAES_Mo211227,ES,Operation Gas,88.75,4000
2021-12-25,GDAES_Su211226,ES,Operation Gas,92.98,4000
2021-12-24,GDAES_Sa211225,ES,Operation Gas,111.5,4500
2021-12-23,GDAES_Fr211224,ES,Operation Gas,159.5,5500
2021-12-22,GDAES_Th211223,ES,Operation Gas,168.0,6000
2021-12-21,GDAES_We211222,ES,Operation Gas,158.5,3500
2021-12-20,GDAES_Tu211221,ES,Operation Gas,143.96,3500
2021-12-19,GDAES_Mo211220,ES,Operation Gas,,0
2021-12-18,GDAES_Su211219,ES,Operation Gas,137.0,3500
2021-12-17,GDAES_Sa211218,ES,Operation Gas,127.0,8000
2021-12-16,GDAES_Fr211217,ES,Operation Gas,130.5,8000
2021-12-15,GDAES_Th211216,ES,Operation Gas,132.0,8000
2021-12-14,GDAES_We211215,ES,Operation Gas,121.75,6000
2021-12-13,GDAES_Tu211214,ES,Operation Gas,117.5,7000
2021-12-12,GDAES_Mo211213,ES,Operation Gas,,0
2021-12-11,GDAES_Su211212,ES,Operation Gas,,0
2021-12-10,GDAES_Sa211211,ES,Operation Gas,104.0,1500
2021-12-09,GDAES_Fr211210,ES,Operation Gas,100.5,3000
2021-12-08,GDAES_Th211209,ES,Operation Gas,98.75,2800
2021-12-07,GDAES_We211208,ES,Operation Gas,95.25,4500
2021-12-06,GDAES_Tu211207,ES,Operation Gas,88.53,4000
2021-12-05,GDAES_Mo211206,ES,Operation Gas,91.22,4000
2021-12-04,GDAES_Su211205,ES,Operation Gas,91.97,3000
2021-12-03,GDAES_Sa211204,ES,Operation Gas,96.0,4000
2021-12-02,GDAES_Fr211203,ES,Operation Gas,96.0,7000
2021-12-01,GDAES_Th211202,ES,Operation Gas,95.44,5000
2021-11-30,GDAES_We211201,ES,Operation Gas,100.5,3000
2021-11-29,GDAES_Tu211130,ES,Operation Gas,99.0,1000
2021-11-28,GDAES_Mo211129,ES,Operation Gas,94.47,5000
2021-11-27,GDAES_Su211128,ES,Operation Gas,94.97,7000
2021-11-26,GDAES_Sa211127,ES,Operation Gas,97.0,5500
2021-11-25,GDAES_Fr211126,ES,Operation Gas,94.45,4800
2021-11-24,GDAES_Th211125,ES,Operation Gas,95.0,7500
2021-11-23,GDAES_We211124,ES,Operation Gas,89.0,5000
2021-11-22,GDAES_Tu211123,ES,Operation Gas,90.0,6000
2021-11-21,GDAES_Mo211122,ES,Operation Gas,93.47,3200
2021-11-20,GDAES_Su211121,ES,Operation Gas,94.47,3500
2021-11-19,GDAES_Sa211120,ES,Operation Gas,95.0,3000
2021-11-18,GDAES_Fr211119,ES,Operation Gas,95.5,4500
2021-11-17,GDAES_Th211118,ES,Operation Gas,99.0,6000
2021-11-16,GDAES_We211117,ES,Operation Gas,86.0,6000
2021-11-15,GDAES_Tu211116,ES,Operation Gas,79.48,8500
2021-11-14,GDAES_Mo211115,ES,Operation Gas,,0
2021-11-13,GDAES_Su211114,ES,Operation Gas,77.0,711
2021-11-12,GDAES_Sa211113,ES,Operation Gas,77.75,6000
2021-11-11,GDAES_Fr211112,ES,Operation Gas,73.95,6000
2021-11-10,GDAES_Th211111,ES,Operation Gas,69.0,4400
2021-11-09,GDAES_We211110,ES,Operation Gas,76.3,3000
2021-11-08,GDAES_Tu211109,ES,Operation Gas,78.0,4000
2021-11-07,GDAES_Mo211108,ES,Operation Gas,73.97,3500
