"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2024-12-16";"889.5508";"77.5";"-0.41";"326.28";"5219.7";"1147.8346";"11727.31";"19876.61"
"E";"2024-12-15";"894.2829";"77.91";"-0.36";"431.56";"4572.9";"1147.8346";"11726.92";"19877.63"
"E";"2024-12-14";"898.4366";"78.27";"-0.49";"246.54";"5835.9";"1147.8346";"11726.36";"19879.12"
"E";"2024-12-13";"904.028";"78.76";"-0.68";"105.91";"8036.5";"1147.8346";"11725.5";"19881.39"
"E";"2024-12-12";"911.8127";"79.44";"-0.72";"75.27";"8341.4";"1147.8346";"11724.74";"19883.4"
"E";"2024-12-11";"920.0981";"80.16";"-0.72";"96.44";"8362";"1147.8346";"11710.93";"19839.12"
"E";"2024-12-10";"928.3364";"80.88";"-0.65";"92.69";"7591.4";"1147.7616";"11702.2";"19812.25"
"E";"2024-12-09";"935.8409";"81.54";"-0.5";"164.69";"5921.3";"1147.7616";"11722.47";"19889.15"
"E";"2024-12-08";"941.5848";"82.04";"-0.32";"400.78";"4034.6";"1147.7616";"11722.15";"19889.97"
"E";"2024-12-07";"945.257";"82.36";"-0.33";"407.39";"4227.4";"1147.7616";"11721.92";"19890.59"
"E";"2024-12-06";"949.0749";"82.69";"-0.42";"335.23";"5124.9";"1147.7616";"11708.33";"19845.73"
"E";"2024-12-05";"953.8657";"83.11";"-0.49";"212.42";"5803.7";"1147.7616";"11697.85";"19805.1"
"E";"2024-12-04";"959.4948";"83.6";"-0.56";"132.24";"6509.5";"1147.7616";"11697.11";"19807.06"
"E";"2024-12-03";"965.8722";"84.15";"-0.5";"215.95";"5944.9";"1147.8226";"11696.38";"19808.98"
"E";"2024-12-02";"971.6148";"84.65";"-0.43";"243.76";"5129.7";"1147.8226";"11698.94";"19811.86"
"C";"2024-12-01";"976.5068";"85.07";"-0.33";"386.32";"4159";"1147.8226";"11719.62";"19887.66"
"C";"2024-11-30";"980.2924";"85.4";"-0.33";"552.37";"4369.6";"1147.8226";"11719.12";"19887.98"
"E";"2024-11-29";"984.1175";"85.74";"-0.47";"79.51";"5513.1";"1147.8226";"11718.17";"19890.49"
"C";"2024-11-28";"989.536";"86.21";"-0.43";"72.08";"5034.7";"1147.8226";"11717.38";"19892.58"
"C";"2024-11-27";"994.5046";"86.64";"-0.4";"199.13";"4792.7";"1147.8226";"11717.13";"19846.84"
"C";"2024-11-26";"999.1069";"87.04";"-0.38";"110.33";"4448.4";"1147.8226";"11716.91";"19808.15"
"C";"2024-11-25";"1003.5183";"87.43";"-0.27";"479.91";"3591.2";"1147.8226";"11716.8";"19819.13"
"C";"2024-11-24";"1006.6319";"87.7";"-0.2";"1001.14";"3266.7";"1147.8226";"11716.74";"19894.27"
"C";"2024-11-23";"1008.966";"87.9";"-0.39";"369.27";"4782.6";"1147.8226";"11716.28";"19895.49"
"C";"2024-11-22";"1013.4083";"88.29";"-0.56";"155.18";"6516.8";"1147.8226";"11715.42";"19897.74"
"C";"2024-11-21";"1019.7869";"88.85";"-0.56";"95.35";"6511.4";"1147.8226";"11690.87";"19899.22"
"C";"2024-11-20";"1026.272";"89.41";"-0.45";"144.71";"5429.7";"1147.8226";"11689.74";"19902.19"
"E";"2024-11-19";"1031.4284";"89.87";"-0.44";"172.99";"5220.5";"1147.7026";"11689.11";"19905.85"
"C";"2024-11-18";"1036.4798";"90.31";"-0.43";"92.94";"5078.4";"1147.7026";"11688.6";"19907.2"
"C";"2024-11-17";"1041.4607";"90.74";"-0.27";"309.92";"3330.7";"1147.7026";"11688.38";"19907.78"
"E";"2024-11-16";"1044.5084";"91.01";"-0.26";"330.68";"3292.1";"1147.7026";"11688.19";"19908.27"
"C";"2024-11-15";"1047.4972";"91.27";"-0.4";"188.17";"4768.9";"1147.7026";"11687.89";"19909.07"
"E";"2024-11-14";"1052.0765";"91.67";"-0.43";"159.6";"5159.1";"1147.7026";"11688.81";"19906.65"
"C";"2024-11-13";"1057.0241";"92.1";"-0.49";"114.33";"5630.2";"1147.7026";"11688.12";"19908.46"
"C";"2024-11-12";"1062.5996";"92.58";"-0.46";"101.29";"5035.7";"1147.7026";"11687.13";"19911.07"
"C";"2024-11-11";"1067.9223";"93.05";"-0.28";"203.93";"3604.8";"1147.7026";"11686.85";"19911.83"
"C";"2024-11-10";"1071.17";"93.33";"-0.21";"333.56";"2692.6";"1147.7026";"11686.29";"19913.28"
"E";"2024-11-09";"1073.5467";"93.54";"-0.23";"315.56";"2898.3";"1147.7026";"11685.68";"19914.9"
"C";"2024-11-08";"1076.1573";"93.77";"-0.3";"209.98";"3663.7";"1147.7026";"11684.83";"19917.15"
"C";"2024-11-07";"1079.628";"94.07";"-0.34";"80.78";"4162.7";"1147.7026";"11683.94";"19919.5"
"C";"2024-11-06";"1083.5531";"94.41";"-0.33";"143.19";"3916.8";"1147.7026";"11679.81";"19915.74"
"C";"2024-11-05";"1087.3265";"94.74";"-0.26";"152.57";"3234";"1147.7026";"11682.89";"19921.55"
"C";"2024-11-04";"1090.344";"95";"-0.2";"266.73";"2506.4";"1147.7026";"11682.35";"19922.97"
"E";"2024-11-03";"1092.5879";"95.2";"-0.03";"829.06";"1108.7";"1147.7026";"11706.64";"19922.22"
"C";"2024-11-02";"1092.889";"95.22";"0.01";"1087.22";"932.5";"1147.7026";"11707.06";"19921.1"
"C";"2024-11-01";"1092.7385";"95.21";"0.04";"1291.55";"920.5";"1147.7026";"11707.31";"19920.44"
"E";"2024-10-31";"1092.2645";"95.17";"-0.05";"596.57";"960.1";"1147.7026";"11810.34";"19893.79"
"C";"2024-10-30";"1092.8025";"95.22";"0";"537.37";"923";"1147.7026";"11810.15";"19894.3"
"C";"2024-10-29";"1092.7798";"95.22";"-0.1";"461.94";"1010.3";"1147.6726";"11810.15";"19894.29"
"C";"2024-10-28";"1093.9151";"95.32";"0.01";"937.69";"860";"1147.6726";"11810.06";"19894.52"
"C";"2024-10-27";"1093.8354";"95.31";"0.05";"1276.73";"714.8";"1147.6116";"11810.11";"19894.4"
"E";"2024-10-26";"1093.3126";"95.27";"0.06";"1354.15";"656.8";"1147.6116";"12030.89";"20228.35"
"C";"2024-10-25";"1092.6501";"95.21";"-0.01";"744.24";"869.2";"1147.6116";"11810";"19894.69"
"C";"2024-10-24";"1092.7514";"95.22";"-0.04";"552.32";"941.9";"1147.6116";"11809.76";"19895.31"
"C";"2024-10-23";"1093.1611";"95.26";"-0.06";"527.3";"1109.3";"1147.6116";"11778.62";"19889.55"
"E";"2024-10-22";"1093.8104";"95.31";"-0.01";"671.51";"814.1";"1147.6116";"11809.47";"19896.07"
"C";"2024-10-21";"1093.9433";"95.32";"0.01";"850.49";"751.7";"1147.6116";"11809.41";"19896.23"
"C";"2024-10-20";"1093.8074";"95.31";"0.11";"1649.49";"392.7";"1147.6116";"11809.44";"19896.16"
"C";"2024-10-19";"1092.5668";"95.2";"0.1";"1542.46";"418.9";"1147.6116";"11809.45";"19896.14"
"C";"2024-10-18";"1091.4619";"95.11";"0.03";"948.58";"570.8";"1147.6116";"11809.44";"19896.17"
"C";"2024-10-17";"1091.1009";"95.08";"0.02";"1004.34";"680.2";"1147.5831";"11809.42";"19896.21"
"C";"2024-10-16";"1090.8219";"95.05";"0.05";"1147.86";"590.7";"1147.5831";"11800.42";"19864.09"
"C";"2024-10-15";"1090.2953";"95.01";"0.01";"972.88";"861.5";"1147.5331";"11809.42";"19896.22"
"E";"2024-10-14";"1090.1826";"95.02";"-0.05";"745.17";"1264.8";"1147.3331";"11887.14";"19820.44"
"C";"2024-10-13";"1090.7099";"95.07";"0.09";"1547.94";"541.5";"1147.2331";"11887.29";"19820.07"
"C";"2024-10-12";"1089.718";"94.99";"0.1";"1632.95";"472.6";"1147.2331";"11887.43";"19819.7"
"C";"2024-10-11";"1088.5727";"94.89";"0.03";"1129.66";"719.1";"1147.2031";"11887.41";"19819.74"
"C";"2024-10-10";"1088.1785";"94.85";"0.09";"1573.48";"500.3";"1147.2931";"11886.55";"19822.01"
"C";"2024-10-09";"1087.1228";"94.76";"0.1";"1608.87";"447.6";"1147.2931";"11442.48";"19234.46"
"E";"2024-10-08";"1085.9385";"94.65";"0.07";"1331.14";"493.5";"1147.2931";"11451.48";"19266.59"
"C";"2024-10-07";"1085.1173";"94.58";"0.06";"1156.22";"498.3";"1147.2981";"11451.48";"19266.83"
"C";"2024-10-06";"1084.4705";"94.52";"0.11";"1688.62";"404.1";"1147.2981";"11886.56";"19624.22"
"C";"2024-10-05";"1083.207";"94.41";"0.08";"1418.9";"525.1";"1147.2981";"11886.57";"19624.21"
"C";"2024-10-04";"1082.3286";"94.34";"0.03";"883.5";"549.2";"1147.2981";"11886.58";"19610.45"
"C";"2024-10-03";"1082.0105";"94.31";"0.01";"830.53";"670.2";"1147.2981";"11886.65";"19624.1"
"C";"2024-10-02";"1081.8717";"94.3";"-0.04";"672.13";"1061.8";"1147.2981";"11876.65";"19549.92"
