Trading Day ,Product,Delivery Zone,Gas type,"Price
[EUR/MWh]","Volume 
[MWh]"
2018-12-31,GDAES_Tu190101,ES,Operation Gas,24.6,3000
2018-12-30,GDAES_Mo181231,ES,Operation Gas,24.8,2700
2018-12-29,GDAES_Su181230,ES,Operation Gas,24.9,2700
2018-12-28,GDAES_Sa181229,ES,Operation Gas,24.5,2500
2018-12-27,GDAES_Fr181228,ES,Operation Gas,24.98,3000
2018-12-26,GDAES_Th181227,ES,Operation Gas,24.5,2500
2018-12-25,GDAES_We181226,ES,Operation Gas,25.0,3000
2018-12-24,GDAES_Tu181225,ES,Operation Gas,25.0,3000
2018-12-23,GDAES_Mo181224,ES,Operation Gas,25.5,3500
2018-12-22,GDAES_Su181223,ES,Operation Gas,24.5,4000
2018-12-21,GDAES_Sa181222,ES,Operation Gas,24.8,4500
2018-12-20,GDAES_Fr181221,ES,Operation Gas,26.0,3500
2018-12-19,GDAES_Th181220,ES,Operation Gas,26.1,3000
2018-12-18,GDAES_We181219,ES,Operation Gas,25.8,2700
2018-12-17,GDAES_Tu181218,ES,Operation Gas,25.8,2500
2018-12-16,GDAES_Mo181217,ES,Operation Gas,25.5,2000
2018-12-15,GDAES_Su181216,ES,Operation Gas,25.1,2000
2018-12-14,GDAES_Sa181215,ES,Operation Gas,25.0,2500
2018-12-13,GDAES_Fr181214,ES,Operation Gas,25.84,2000
2018-12-12,GDAES_Th181213,ES,Operation Gas,25.64,2000
2018-12-11,GDAES_We181212,ES,Operation Gas,25.61,2000
2018-12-10,GDAES_Tu181211,ES,Operation Gas,25.45,2500
2018-12-09,GDAES_Mo181210,ES,Operation Gas,25.55,2500
2018-12-08,GDAES_Su181209,ES,Operation Gas,25.39,2500
2018-12-07,GDAES_Sa181208,ES,Operation Gas,24.55,3500
2018-12-06,GDAES_Fr181207,ES,Operation Gas,25.2,3200
2018-12-05,GDAES_Th181206,ES,Operation Gas,25.89,3500
2018-12-04,GDAES_We181205,ES,Operation Gas,26.05,3000
2018-12-03,GDAES_Tu181204,ES,Operation Gas,27.0,2800
2018-12-02,GDAES_Mo181203,ES,Operation Gas,26.99,3500
2018-12-01,GDAES_Su181202,ES,Operation Gas,25.8,3500
2018-11-30,GDAES_Sa181201,ES,Operation Gas,25.79,3500
2018-11-29,GDAES_Fr181130,ES,Operation Gas,26.75,3500
2018-11-28,GDAES_Th181129,ES,Operation Gas,26.84,3000
2018-11-27,GDAES_We181128,ES,Operation Gas,26.85,3000
2018-11-26,GDAES_Tu181127,ES,Operation Gas,27.0,3000
2018-11-25,GDAES_Mo181126,ES,Operation Gas,27.0,3000
2018-11-24,GDAES_Su181125,ES,Operation Gas,25.8,3000
2018-11-23,GDAES_Sa181124,ES,Operation Gas,25.7,2000
2018-11-22,GDAES_Fr181123,ES,Operation Gas,26.5,2300
2018-11-21,GDAES_Th181122,ES,Operation Gas,26.8,3000
2018-11-20,GDAES_We181121,ES,Operation Gas,26.8,1500
2018-11-19,GDAES_Tu181120,ES,Operation Gas,26.78,1500
2018-11-18,GDAES_Mo181119,ES,Operation Gas,26.7,1500
2018-11-17,GDAES_Su181118,ES,Operation Gas,26.05,1500
2018-11-16,GDAES_Sa181117,ES,Operation Gas,25.9,1500
2018-11-15,GDAES_Fr181116,ES,Operation Gas,26.8,1500
2018-11-14,GDAES_Th181115,ES,Operation Gas,27.15,1500
2018-11-13,GDAES_We181114,ES,Operation Gas,27.09,1200
2018-11-12,GDAES_Tu181113,ES,Operation Gas,26.02,1800
2018-11-11,GDAES_Mo181112,ES,Operation Gas,26.0,2000
2018-11-10,GDAES_Su181111,ES,Operation Gas,24.0,2000
2018-11-09,GDAES_Sa181110,ES,Operation Gas,24.2,2500
2018-11-08,GDAES_Fr181109,ES,Operation Gas,26.5,3500
2018-11-07,GDAES_Th181108,ES,Operation Gas,25.7,3000
2018-11-06,GDAES_We181107,ES,Operation Gas,25.0,1800
2018-11-05,GDAES_Tu181106,ES,Operation Gas,26.1,1800
2018-11-04,GDAES_Mo181105,ES,Operation Gas,25.99,2000
2018-11-03,GDAES_Su181104,ES,Operation Gas,25.2,2000
2018-11-02,GDAES_Sa181103,ES,Operation Gas,25.0,1800
2018-11-01,GDAES_Fr181102,ES,Operation Gas,25.0,1500
2018-10-31,GDAES_Th181101,ES,Operation Gas,27.3,1800
2018-10-30,GDAES_We181031,ES,Operation Gas,27.64,2000
2018-10-29,GDAES_Tu181030,ES,Operation Gas,26.1,2300
2018-10-28,GDAES_Mo181029,ES,Operation Gas,25.9,1500
2018-10-27,GDAES_Su181028,ES,Operation Gas,25.5,1500
