OMIE - Mercado de electricidad;Fecha Emisión :24/04/2023 - 03:44;;23/04/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;4;23;1;112,00;108,00;0;102,00;104,00;0;106,18;106,53;0;
2023;4;23;2;102,00;101,20;0;93,00;97,00;0;97,92;97,63;0;
2023;4;23;3;99,02;82,00;0;60,00;61,66;0;78,44;72,40;0;
2023;4;23;4;93,44;81,60;0;61,26;61,26;0;74,08;71,19;0;
2023;4;23;5;89,56;85,00;0;67,86;67,86;0;78,63;77,69;0;
2023;4;23;6;81,70;81,70;0;60,36;60,36;0;75,11;74,76;0;
2023;4;23;7;83,67;79,72;0;66,89;71,10;0;75,53;74,18;0;
2023;4;23;8;98,28;99,59;0;55,07;85,00;0;81,80;95,85;0;
2023;4;23;9;98,92;97,32;0;38,65;38,65;0;77,09;88,43;0;
2023;4;23;10;88,84;88,75;0;-7,00;-0,50;0;33,67;53,60;0;
2023;4;23;11;76,89;100,45;0;-29,99;-15,00;0;23,38;41,87;0;
2023;4;23;12;0;100,68;0;-49,90;-0,02;0;-9,40;50,56;0;
2023;4;23;13;1,69;135,98;0;-50,00;86,35;0;-1,91;87,02;0;
2023;4;23;14;1,50;135,15;0;-25,61;-7,00;0;-6,94;126,46;0;
2023;4;23;15;0;130,15;0;-30,00;86,35;0;-13,10;99,98;0;
2023;4;23;16;32,10;0;0;-90,01;-18,01;0;-5,79;-2,59;0;
2023;4;23;17;63,38;127,35;0;-150,00;-15,41;0;-3,86;28,15;0;
2023;4;23;18;103,55;-10,81;0;-95,00;-28,00;0;8,96;-19,45;0;
2023;4;23;19;116,79;89,15;0;-35,00;-8,01;0;23,31;60,93;0;
2023;4;23;20;115,32;129,65;0;0;22,00;0;51,15;83,49;0;
2023;4;23;21;117,52;90,00;0;64,20;88,00;0;97,72;88,32;0;
2023;4;23;22;125,02;123,00;0;96,08;96,68;0;112,32;107,54;0;
2023;4;23;23;120,00;113,15;0;97,13;98,63;0;108,13;103,53;0;
2023;4;23;24;111,27;105,08;0;80,00;88,58;0;95,28;97,90;0;
;;;;;;;;;;;;;
